YEAR,GEOID,STATE,TOT_POP,TOT_POP_AVG_INCOME,TOT_POP_MEDIAN_INCOME,NATIVE_POP,NATIVE_POP_AVG_INCOME,NATIVE_POP_MEDIAN_INCOME,FOREIGN_BORN_POP,FOREIGN_BORN_AVG_INCOME,FOREIGN_BORN_MEDIAN_INCOME
2012,0400000US21,Kentucky,37005,28557.8315903256,18000,36020,28517.8043586896,18000,985,30021.5685279188,15400
2016,0400000US30,Montana,8386,35020.8080133556,23300,8208,35224.011208577,23600,178,25650.6292134831,15200
2012,0400000US41,Oregon,32352,32602.1024975272,20400,29455,32768.6839585809,20800,2897,30908.3997238523,17500
2012,0400000US17,Illinois,104908,35399.9147062188,21200,91697,35906.3512982977,22000,13211,31884.7594428885,19300
2010,0400000US54,West Virginia,15352,25871.9314095883,17000,15141,25747.6032626643,17000,211,34793.5071090047,19000
2014,0400000US10,Delaware,7575,38499.1001980198,25500,6950,38231.4165467626,25900,625,41475.7424,24000
2008,0400000US55,Wisconsin,47510,32648.66806988,24000,45882,32748.2715661915,24200,1628,29841.5380835381,18220
2006,0400000US15,Hawaii,10591,34018.153620999,24000,8659,35535.585633445,25000,1932,27217.1992753623,20000
2008,0400000US17,Illinois,102272,36884.8795564768,23800,89763,37190.4915165491,24000,12509,34691.8468302822,20830
2008,0400000US42,Pennsylvania,103932,32599.8869934188,21600,99067,32495.7937355527,21800,4865,34719.5595066804,19400
2014,0400000US06,California,306082,39230.5325435668,20000,210796,41586.9170287861,21600,95286,34017.632181013,17400
2006,0400000US56,Wyoming,4353,30294.6678152998,22000,4218,30522.4985775249,22000,135,23176.2222222222,15000
2006,0400000US18,Indiana,52288,28726.4932298042,20000,50251,28800.9357823725,20100,2037,26890.0608738341,16200
2012,0400000US24,Maryland,48442,44823.6571776558,28000,41593,45372.2653571514,29000,6849,41492.0379617462,25000
2008,0400000US29,Missouri,48711,30792.6595635483,20700,47028,30760.7754529217,20800,1683,31683.595959596,18200
2006,0400000US08,Colorado,38292,36099.510184895,24200,34885,37030.7402608571,25000,3407,26564.4467273261,16600
2014,0400000US24,Maryland,48748,46771.9560392221,30000,41523,47264.822122679,30000,7225,43939.3915570934,26000
2006,0400000US50,Vermont,5156,29376.0690457719,21900,4963,29571.4154745114,22000,193,24352.7305699482,19000
2014,0400000US02,Alaska,5164,38011.8481797057,24090,4837,38037.499276411,24000,327,37632.4159021407,26800
2012,0400000US26,Michigan,82086,30453.3699169164,19400,77523,30191.7437921649,19600,4563,34898.261889108,17000
2010,0400000US42,Pennsylvania,104456,32131.6100080417,21200,99240,32003.7671503426,21400,5216,34563.9576303681,19000
2014,0400000US34,New Jersey,72992,46748.2958269399,26400,56686,47609.5828599654,28000,16306,43754.1270084631,24000
2012,0400000US23,Maine,11302,29396.9131127234,20000,10909,29518.4629205243,20000,393,26022.9007633588,15100
2008,0400000US34,New Jersey,70275,45896.3069228033,28500,56187,46582.0571840461,30000,14088,43161.3374503123,25000
2008,0400000US36,New York,153900,38830.9237881741,23000,122272,39884.2301099189,24000,31628,34758.9030921968,20000
2010,0400000US53,Washington,55019,36117.8757701885,24000,47521,36667.101491972,25000,7498,32636.9801280341,19100
2012,0400000US44,Rhode Island,9182,35634.0396427794,22000,7935,36650.2117202268,23000,1247,29167.8604651163,17500
2008,0400000US04,Arizona,48996,34389.9505061638,22000,41842,35732.4328903972,24000,7154,26538.0986860498,16200
2016,0400000US35,New Mexico,15730,31408.6171010807,19000,14321,31820.8446337546,19200,1409,27218.7586941093,16000
2006,0400000US54,West Virginia,15532,23213.357262426,15200,15311,23025.1257266018,15200,221,36254.1402714932,17000
2016,0400000US11,District of Columbia,5772,63385.347020097,39000,5014,64557.5684084563,40000,758,55631.3654353562,30000
2006,0400000US04,Arizona,47884,32727.6299390193,21000,40663,34361.2958217544,23000,7221,23528.1069104002,15000
2012,0400000US31,Nebraska,15260,32436.0461336828,23000,14565,32837.4549948507,23800,695,24023.7870503597,16200
2006,0400000US10,Delaware,6674,34666.1582259515,24000,6137,34743.7770897833,24000,537,33779.1061452514,21000
2016,0400000US27,Minnesota,44503,41645.8880300204,29100,42240,41968.6712121212,30000,2263,35620.9823243482,21000
2008,0400000US37,North Carolina,75697,32814.8240881409,21000,70631,33058.2182611035,21600,5066,29421.38274773,17000
2006,0400000US20,Kansas,22631,29454.3075427511,20500,21526,29728.1796432221,21000,1105,24119.1303167421,15300
2014,0400000US37,North Carolina,81402,33141.4589936365,20000,75563,33238.2677897913,20060,5839,31888.648056174,18000
2010,0400000US46,South Dakota,6618,30450.8697491689,21700,6489,30548.8284789644,21700,129,25523.3178294574,18000
2010,0400000US44,Rhode Island,8759,35988.7298778399,23000,7659,36936.6124820473,24000,1100,29388.8818181818,17350
2014,0400000US01,Alabama,40108,29749.0629799541,18000,38965,29778.4010008982,18000,1143,28748.9265091864,15000
2012,0400000US08,Colorado,41874,38773.5387113722,24300,38066,39518.8367046708,25000,3808,31323.2988445378,19000
2016,0400000US05,Arkansas,24474,30163.3947454441,19000,23512,30272.7306907111,19000,962,27491.1424116424,19100
2012,0400000US05,Arkansas,24065,26372.1234573031,17000,23210,26431.8232227488,17000,855,24751.501754386,16000
2006,0400000US23,Maine,10588,27303.9560823574,19500,10281,27218.8419414454,19680,307,30154.3094462541,18000
2006,0400000US05,Arkansas,22942,24921.0101124575,16000,22148,24978.5314249594,16000,794,23316.4987405542,16600
2010,0400000US09,Connecticut,29460,46471.8754921928,27000,25398,47176.1287502953,28300,4062,42068.4721811915,22100
2012,0400000US45,South Carolina,39401,29257.0324103449,18000,37619,29205.1747255376,18000,1782,30351.7766554433,16800
2014,0400000US13,Georgia,79301,33466.1923809284,19210,71758,33664.6473703281,19500,7543,31578.2521543153,18000
2006,0400000US40,Oklahoma,28887,26518.3480112161,17000,27642,26714.3912162651,17400,1245,22165.7164658635,14200
2010,0400000US41,Oregon,31705,31318.0603374862,20000,28732,31808.6156550188,20700,2973,26577.1806256307,16000
2014,0400000US40,Oklahoma,30154,29777.6128871791,19000,28607,30134.6837836893,19200,1547,23174.6864899806,16600
2006,0400000US38,North Dakota,5494,26993.0169275573,19450,5410,27110.6970425139,19600,84,19413.8571428571,9450
