YEAR,GEOID,STATE,TOT_POP,TOT_POP_AVG_INCOME,TOT_POP_MEDIAN_INCOME,NATIVE_POP,NATIVE_POP_AVG_INCOME,NATIVE_POP_MEDIAN_INCOME,FOREIGN_BORN_POP,FOREIGN_BORN_AVG_INCOME,FOREIGN_BORN_MEDIAN_INCOME
1980,0400000US,National,8746006,9209.58954121458,6005,8105570,9273.41638897696,6005,640436,8401.7758292788,5185
1990,0400000US,National,9578680,17955.2715117323,12000,8733752,18152.5277711114,12000,844928,15916.296297436,9760
2000,0400000US,National,11043125,26901.2297240138,17200,9702180,27430.8204931263,18000,1340945,23069.4655813624,13100
2001,0400000US,National,947499,29386.5474264353,20000,849600,29697.8108980697,20000,97899,26685.2997579138,15900
2004,0400000US,National,952872,31199.2626732657,20200,848988,31534.6574026959,21000,103884,28458.262128913,17000
2007,0400000US,National,2423513,34351.798808589,21400,2118356,34793.3125348147,22000,305157,31286.8740287786,18000
2010,0400000US,National,2494822,33779.0090130679,20400,2163695,34236.7372319112,21100,331127,30788.0591404506,17000
2013,0400000US,National,2582042,35747.9679950984,20800,2238949,36064.1708524848,21400,343093,33684.4981156713,18000
2016,0400000US,National,2624319,39487.4829405267,23600,2266786,39748.5688931377,24000,357533,37832.1784450666,20000
1980,0400000US01,Alabama,148070,7575.86043763085,4510,146376,7573.70579876483,4515,1694,7762.03955135773,4005
1980,0400000US02,Alaska,14734,13603.9178091489,8845,14026,13658.6902894624,8895,708,12518.8347457627,8005
1980,0400000US04,Arizona,103595,9021.88595009412,6005,96165,9173.74122601778,6005,7430,7056.4535666218,4057.5
1980,0400000US05,Arkansas,87102,7133.20015613878,4505,86110,7140.75722912554,4505,992,6477.2127016129,4160
1980,0400000US06,California,923249,10264.233110461,6710,765468,10683.8343470922,7005,157781,8228.55505415735,5240
1980,0400000US08,Colorado,111420,10100.3664063902,6945,106309,10180.7621179768,7005,5111,8428.13245940129,5005
1980,0400000US09,Connecticut,122654,10434.6087775368,7125,109919,10545.7129795577,7290,12735,9475.64036120927,6250
1980,0400000US10,Delaware,22878,9456.99951918874,6105,22053,9440.11857797125,6180,825,9908.24242424242,5140
1980,0400000US11,District of Columbia,26199,10452.4752853162,7010,24363,10431.1975126216,7070,1836,10734.8229847495,6780
1980,0400000US12,Florida,393064,8727.31093409725,5880,343382,8871.9207034731,6005,49682,7727.82637574977,5005
1980,0400000US13,Georgia,206033,8271.80417700077,5505,202045,8269.48001682793,5505,3988,8389.55366098295,4805
1980,0400000US15,Hawaii,36956,9942.39906916333,7005,30654,10488.4150518692,7510,6302,7286.48444938115,5005
1980,0400000US16,Idaho,34455,8404.54825134233,5350,33345,8481.91378017694,5460,1110,6080.44594594595,3887.5
1980,0400000US17,Illinois,440088,10179.3771132137,6905,402676,10223.9983510316,6917.5,37412,9699.10603549663,6755
1980,0400000US18,Indiana,208993,9229.08319895882,6190,204286,9232.36915402915,6210,4707,9086.47121308689,5105
1980,0400000US19,Iowa,112338,9069.92473606438,6005,110240,9097.5993287373,6005,2098,7615.75548141087,4360
1980,0400000US20,Kansas,91836,9276.33428067425,6130,89712,9306.94260522561,6205,2124,7983.52165725047,4512.5
1980,0400000US21,Kentucky,138755,7724.84296061403,4785,137275,7729.47331997815,4805,1480,7295.36148648649,3245
1980,0400000US22,Louisiana,155972,8387.90122586105,4780,152433,8401.87925186803,4805,3539,7785.83498163323,4005
1980,0400000US23,Maine,43318,7430.78466226511,5110,41232,7482.15609235545,5205,2086,6415.37392138063,4205
1980,0400000US24,Maryland,164155,10392.6169473973,7055,155447,10382.4357819707,7105,8708,10574.3615066605,6615
1980,0400000US25,Massachusetts,227151,9237.48264370397,6115,203816,9394.35299485811,6405,23335,7867.32247696593,5005
1980,0400000US26,Michigan,352221,9907.81050817527,6205,332831,9904.50363698093,6255,19390,9964.57323362558,5497.5
1980,0400000US27,Minnesota,156288,9488.77063498157,6215,151678,9516.61414311898,6295,4610,8572.66485900217,5005
1980,0400000US28,Mississippi,93043,6883.05665122578,4005,92057,6891.50803306647,4005,986,6094.00101419878,2857.5
1980,0400000US29,Missouri,191114,8703.28021495024,5740,187164,8700.45791391507,5770,3950,8837.01012658228,4837.5
1980,0400000US30,Montana,30038,8514.27841400892,5495,29139,8575.57671848725,5565,899,6527.43604004449,4040
1980,0400000US31,Nebraska,60473,8873.73538604005,6005,59069,8910.57356650697,6005,1404,7323.88176638177,4145
1980,0400000US32,Nevada,31430,10420.4449570474,7760,28861,10545.2453137452,7825,2569,9018.39626313741,6765
1980,0400000US33,New Hampshire,35492,8897.78428941733,6480,33542,8959.56800429313,6547.5,1950,7835.04102564103,4800
1980,0400000US34,New Jersey,288869,10096.5087981057,6685,253634,10187.8084562795,6805,35235,9439.30154675749,6005
1980,0400000US35,New Mexico,48174,8167.223709885,5005,45951,8242.45783552045,5005,2223,6612.08052181736,3635
1980,0400000US36,New York,689108,9266.01017547322,6005,577255,9423.96958016821,6005,111853,8450.80757780301,5375
1980,0400000US37,North Carolina,227399,7777.30352815975,5625,223988,7775.0670794864,5655,3411,7924.16300205218,4820
1980,0400000US38,North Dakota,24933,8332.45237235792,5305,24246,8376.61387445352,5405,687,6773.87918486172,3605
1980,0400000US39,Ohio,414397,9298.52956223139,6025,400360,9293.68367219502,6075,14037,9436.74289378072,5355
1980,0400000US40,Oklahoma,116332,8622.69581886326,5425,113809,8667.94629598714,5505,2523,6581.51010701546,3395
1980,0400000US41,Oregon,102052,9568.70090738055,6335,97216,9632.10952929559,6455,4836,8294.02502067825,5005
1980,0400000US42,Pennsylvania,468003,8787.01200633329,5805,449050,8803.18549159336,5875,18953,8403.81654619321,4885
1980,0400000US44,Rhode Island,37720,8512.94141039237,5952.5,33807,8678.80498121691,6005,3913,7079.93611040123,5010
1980,0400000US45,South Carolina,118037,7663.54994620331,5210,116081,7663.23278572721,5230,1956,7682.37218813906,4530
1980,0400000US46,South Dakota,26227,7391.06397986807,4805,25760,7411.20632763975,4805,467,6280,3505
1980,0400000US47,Tennessee,176694,7857.58950501998,5005,174535,7849.53284441516,5005,2159,8508.89532190829,4005
1980,0400000US48,Texas,534721,9253.58222325287,6005,497365,9444.91827933208,6005,37356,6706.09701252811,3665
1980,0400000US49,Utah,49758,9106.66978174364,5960,47450,9202.92086406744,6005,2308,7127.85095320624,4210
1980,0400000US50,Vermont,19706,7902.08261443215,5457.5,18647,7902.53311524642,5475,1059,7894.15014164306,5080
1980,0400000US51,Virginia,207649,9416.63412778294,6215,199789,9405.66149788027,6240,7860,9695.54134860051,6005
1980,0400000US53,Washington,160292,10131.0703902877,6765,149349,10241.08082411,6945,10943,8629.65868591794,5010
1980,0400000US54,West Virginia,74475,7925.1207116482,4805,73520,7908.61364254625,4805,955,9195.9057591623,4435
1980,0400000US55,Wisconsin,180946,9239.1307075039,6240,175104,9259.0889414291,6302.5,5842,8640.91663813762,5130
1980,0400000US56,Wyoming,17400,10606.7290229885,7005,16981,10646.008480066,7005,419,9014.83293556086,6360
1990,0400000US01,Alabama,150669,14286.9472353304,9000,148944,14267.8642241379,9000,1725,15934.6573913043,8400
1990,0400000US02,Alaska,20250,22777.7217777778,15873,19306,22862.6326530612,15879.5,944,21041.186440678,15309.5
1990,0400000US04,Arizona,134696,17243.5806779711,11607.5,122857,17717.7453543551,12000,11839,12323.025762311,7130
1990,0400000US05,Arkansas,87663,12894.9144564982,8500,86687,12890.8993851443,8516,976,13251.5276639344,8290
