GEOID,STATE,NAME,TOTAL_POP,TOTAL_POP_MEDIAN_INCOME,NATIVE_POP,NATIVE_POP_MEDIAN_INCOME,FOREIGN_BORN_POP,FOREIGN_BORN_MEDIAN_INCOME,NATURALIZED_POP,NATURALIZED_MEDIAN_INCOME,NON_CITIZEN_POP,NON_CITIZEN_MEDIAN_INCOME
0400000US01,01,Alabama,4841164,44758,4675660,44842,165504,42543,58841,56706,106663,35198
0400000US02,02,Alaska,736855,74444,681608,75183,55247,64314,31138,71797,24109,54478
0400000US04,04,Arizona,6728577,51340,5827029,53329,901548,40217,365345,49746,536203,32593
0400000US05,05,Arkansas,2968472,42336,2829438,42446,139034,40365,44575,47229,94459,36078
0400000US06,06,California,38654206,63783,28216576,68784,10437630,54540,5139275,66349,5298355,42351
0400000US08,08,Colorado,5359295,62520,4834851,64417,524444,48157,206682,59436,317762,41117
0400000US09,09,Connecticut,3588570,71755,3085361,73410,503209,63353,248580,70570,254629,55176
0400000US10,10,Delaware,934695,61017,852145,61159,82550,59487,38571,70112,43979,51253
0400000US11,11,District of Columbia,659009,72935,566496,74734,92513,65177,38531,72235,53982,60477
0400000US12,12,Florida,19934451,48900,15966780,50672,3967671,42551,2134726,47749,1832945,35972
0400000US13,13,Georgia,10099320,51037,9104691,51236,994629,49314,402905,60629,591724,40510
0400000US15,15,Hawaii,1413673,71977,1160122,73729,253551,64790,143830,72700,109721,50308
0400000US16,16,Idaho,1635483,49174,1537747,49991,97736,40538,36450,46634,61286,35656
0400000US17,17,Illinois,12851684,59196,11060116,60175,1791568,54406,868052,65043,923516,44533
0400000US18,18,Indiana,6589578,50433,6265210,50807,324368,42807,120604,54047,203764,35569
0400000US19,19,Iowa,3106589,54570,2955422,54918,151167,47903,56676,53970,94491,42563
0400000US20,20,Kansas,2898292,53571,2697523,54413,200769,44533,73866,55219,126903,37172
0400000US21,21,Kentucky,4411989,44811,4257846,44911,154143,42401,57074,52673,97069,36347
0400000US22,22,Louisiana,4645670,45652,4458090,45727,187580,44131,77620,54603,109960,38293
0400000US23,23,Maine,1329923,50826,1282272,50959,47651,46312,26111,50285,21540,39271
0400000US24,24,Maryland,5959902,76067,5085570,76722,874332,72916,431575,84923,442757,60771
0400000US25,25,Massachusetts,6742143,70954,5680682,73468,1061461,60370,554227,65081,507234,52706
0400000US26,26,Michigan,9909600,50803,9277118,50732,632482,51853,324859,56690,307623,46261
0400000US27,27,Minnesota,5450868,63217,5024177,64253,426691,50927,210633,56456,216058,45169
0400000US28,28,Mississippi,2989192,40528,2921862,40496,67330,41664,24898,52752,42432,35067
0400000US29,29,Missouri,6059651,49593,5823572,49709,236079,46739,106455,55888,129624,39204
0400000US30,30,Montana,1023391,48380,1002479,48452,20912,44850,11324,50318,9588,38533
0400000US31,31,Nebraska,1881259,54384,1754726,55625,126533,41011,44584,51224,81949,35336
0400000US32,32,Nevada,2839172,53094,2291476,54960,547696,47243,255664,56367,292032,38411
0400000US33,33,New Hampshire,1327503,68485,1250440,68770,77063,63906,40973,67190,36090,58645
0400000US34,34,New Jersey,8915456,73702,6972118,75926,1943338,67132,1047097,75317,896241,56276
0400000US35,35,New Mexico,2082669,45674,1881326,47254,201343,34220,72923,43052,128420,29631
0400000US36,36,New York,19697457,60741,15255210,63381,4442247,52616,2421850,58377,2020397,44145
0400000US37,37,North Carolina,9940828,48256,9173172,48712,767656,43610,271942,58740,495714,36455
0400000US38,38,North Dakota,736162,59114,711798,59850,24364,42608,9673,44328,14691,41037
0400000US39,39,Ohio,11586941,50674,11102233,50718,484708,49534,245794,54884,238914,41994
0400000US40,40,Oklahoma,3875589,48038,3650073,48638,225516,41405,75889,53080,149627,35813
0400000US41,41,Oregon,3982267,53270,3591654,53956,390613,47827,161938,59011,228675,40163
0400000US42,42,Pennsylvania,12783977,54895,11965614,55182,818363,51036,425056,56334,393307,43246
0400000US44,44,Rhode Island,1054491,58387,911828,61281,142663,45521,74736,50976,67927,36885
0400000US45,45,South Carolina,4834605,46898,4603889,47041,230716,44034,90821,54787,139895,36826
0400000US46,46,South Dakota,851058,52078,823863,52509,27195,41528,9858,49370,17337,35743
0400000US47,47,Tennessee,6548009,46574,6232690,46755,315319,42630,116699,54369,198620,36753
0400000US48,48,Texas,26956435,54727,22462090,57803,4494345,44135,1589804,58386,2904541,36523
0400000US49,49,Utah,2948427,62518,2703643,64323,244784,47011,90378,57468,154406,40278
0400000US50,50,Vermont,626249,56104,598694,56246,27555,53666,15218,51473,12337,60285
0400000US51,51,Virginia,8310301,66149,7323806,65484,986495,71189,492475,84284,494020,56629
0400000US53,53,Washington,7073146,62848,6115961,63774,957185,57361,448143,65210,509042,49499
0400000US54,54,West Virginia,1846092,42644,1817184,42522,28908,52100,14669,58975,14239,42514
0400000US55,55,Wisconsin,5754798,54610,5477560,55002,277238,46856,121771,54836,155467,40740
0400000US56,56,Wyoming,583029,59143,562317,59869,20712,43343,8029,54054,12683,37547
0400000US72,72,Puerto Rico,3529385,19606,3434061,19567,95324,20607,42631,26633,52693,16520
